#        distance           band1           band2           band3
0.00000000 -0.00000020 -0.00000010 -0.00000005
0.00263030 0.12436389 0.20068067 0.20571663
0.00526050 0.29518298 0.37527423 0.39981278
0.00789080 0.45862692 0.53982038 0.59548625
0.01052100 0.61443766 0.69825670 0.78621254
0.01315130 0.76075086 0.84933777 0.97050190
0.01578150 0.89571214 0.99201346 1.14699854
0.01841180 1.01776652 1.12544687 1.31448899


