#        distance           band1           band2           band3
0.00000000 -0.00000031 -0.00000022 -0.00000003
0.00262710 0.09451338 0.09451338 0.15609579
0.00525430 0.18895382 0.18895382 0.31210137
0.00788140 0.28324808 0.28324808 0.46792693
0.01050850 0.37732241 0.37732241 0.62348341
0.01313560 0.47110222 0.47110222 0.77868291
0.01576280 0.56451186 0.56451186 0.93343900
0.01838990 0.65747429 0.65747429 1.08766706

