#        distance           band1           band2           band3
0.00000000 0.00000037 0.00000041 0.00000048
0.00265010 0.15398512 0.15398512 0.21818783
0.00530020 0.30768643 0.30768643 0.43629437
0.00795030 0.46082077 0.46082077 0.65423852
0.01060040 0.61310622 0.61310622 0.87193950
0.01325050 0.76426283 0.76426283 1.08931705
0.01590070 0.91401326 0.91401326 1.30629162
0.01855080 1.06208361 1.06208361 1.52278461

