#        distance           band1           band2           band3
0.00000000 -0.00000020 0.00000015 0.00000026
0.00261620 0.08448708 0.08667633 0.16413627
0.00523240 0.16921673 0.17327005 0.32801503
0.00784860 0.25378870 0.25969748 0.49171085
0.01046480 0.33821029 0.34587288 0.65508996
0.01308100 0.42245586 0.43170740 0.81803749
0.01569720 0.50649955 0.51710825 0.98044059
0.01831340 0.59031970 0.60197788 1.14218579
