#        distance           band1           band2           band3
0.00000000 0.00000023 0.00000030 0.00000038
0.00263090 0.09111429 0.09111429 0.18168285
0.00526170 0.18223677 0.18223677 0.36321189
0.00789260 0.27337510 0.27337510 0.54443401
0.01052350 0.36453599 0.36453599 0.72519739
0.01315440 0.45572469 0.45572469 0.90535220
0.01578520 0.54694451 0.54694451 1.08475121
0.01841610 0.63819646 0.63819646 1.26325045


