# Tetrahedron method
       -1.0310591856        0.0000000000
       -0.9608192614        0.0000000000
       -0.8905793373        0.0000000000
       -0.8203394131        0.0000000000
       -0.7500994889        0.0000000000
       -0.6798595648        0.0000000000
       -0.6096196406        0.0000000000
       -0.5393797165        0.0000000000
       -0.4691397923        0.0000000000
       -0.3988998682        0.0000000000
       -0.3286599440        0.0000000000
       -0.2584200199        0.0000000000
       -0.1881800957        0.0000000000
       -0.1179401715        0.0000000000
       -0.0477002474        0.0000000000
        0.0225396768        0.0000000000
        0.0927796009        0.0000000000
        0.1630195251        0.0013380492
        0.2332594492        0.0026763021
        0.3034993734        0.0048388888
        0.3737392975        0.0075486495
        0.4439792217        0.0109150541
        0.5142191459        0.0145987495
        0.5844590700        0.0191189175
        0.6546989942        0.0242934191
        0.7249389183        0.0300436788
        0.7951788425        0.0366638427
        0.8654187666        0.0439951342
        0.9356586908        0.0520272790
        1.0058986149        0.0609763783
        1.0761385391        0.0710007459
        1.1463784633        0.0819805445
        1.2166183874        0.0940471309
        1.2868583116        0.1074915370
        1.3570982357        0.1223352427
        1.4273381599        0.1387019686
        1.4975780840        0.1569707498
        1.5678180082        0.1775383444
        1.6380579323        0.2005494012
        1.7082978565        0.2264566101
        1.7785377807        0.2560022518
        1.8487777048        0.2904668107
        1.9190176290        0.3307579012
        1.9892575531        0.3776050573
        2.0594974773        0.4358379079
        2.1297374014        0.5152813542
        2.1999773256        0.7401557563
        2.2702172497        0.8391428354
        2.3404571739        1.1256157052
        2.4106970981        1.2262448358
        2.4809370222        1.3431781149
        2.5511769464        1.5149521072
        2.6214168705        1.7460179149
        2.6916567947        2.0419590537
        2.7618967188        2.4397004333
        2.8321366430        2.6877020883
        2.9023765671        3.1387291461
        2.9726164913        3.1727166777
        3.0428564154        2.5721214330
        3.1130963396        2.3162288838
        3.1833362638        2.1968932518
        3.2535761879        2.0356986575
        3.3238161121        2.0258212840
        3.3940560362        1.9411175595
        3.4642959604        1.9096119224
        3.5345358845        1.8056909674
        3.6047758087        1.7109556742
        3.6750157328        1.6760403227
        3.7452556570        1.6745833598
        3.8154955812        1.6860594049
        3.8857355053        1.6326215779
        3.9559754295        1.6289894784
        4.0262153536        1.6708634994
        4.0964552778        1.8947841843
        4.1666952019        1.8369385592
        4.2369351261        0.9228635657
        4.3071750502        0.1608836954
        4.3774149744        0.1706356627
        4.4476548986        0.1816127375
        4.5178948227        0.1938933698
        4.5881347469        0.2066808711
        4.6583746710        0.2192983079
        4.7286145952        0.2083739159
        4.7988545193        0.2750383611
        4.8690944435        0.2747030259
        4.9393343676        0.2960501775
        5.0095742918        0.3201133132
        5.0798142160        0.3478373977
        5.1500541401        0.3787068619
        5.2202940643        0.4144601026
        5.2905339884        0.4569108606
        5.3607739126        0.5074753675
        5.4310138367        0.5714584294
        5.5012537609        0.6680828521
        5.5714936850        0.7477290587
        5.6417336092        0.7917278072
        5.7119735334        0.8791945935
        5.7822134575        0.9994181993
        5.8524533817        1.1681877960
        5.9226933058        1.4128469743
        5.9929332300        2.1607381282
        6.0631731541        2.1073666280
        6.1334130783        1.8297394325
        6.2036530024        1.7792128226
        6.2738929266        1.8262563122
        6.3441328507        1.4212538984
        6.4143727749        1.0130367791
        6.4846126991        0.7840509884
        6.5548526232        0.6030867759
        6.6250925474        0.4330708994
        6.6953324715        0.2309832821
        6.7655723957        0.0098827086
        6.8358123198        0.0000000000
        6.9060522440        0.0000000000
        6.9762921681        0.0000000000
        7.0465320923        0.0000000000
        7.1167720165        0.0000000000
        7.1870119406        0.0000000000
        7.2572518648        0.0000000000
        7.3274917889        0.0000000000
        7.3977317131        0.0000000000
        7.4679716372        0.0000000000
        7.5382115614        0.0000000000
        7.6084514855        0.0000000000
        7.6786914097        0.0000000000
        7.7489313339        0.0000000000
        7.8191712580        0.0000000000
        7.8894111822        0.0000000000
        7.9596511063        0.0000000000
        8.0298910305        0.0000000000
        8.1001309546        0.0000000000
        8.1703708788        0.0000000000
        8.2406108029        0.0000000000
        8.3108507271        0.0000000000
        8.3810906513        0.0000000000
        8.4513305754        0.0000000000
        8.5215704996        0.0000000000
        8.5918104237        0.0000000000
        8.6620503479        0.0000000000
        8.7322902720        0.0000000000
        8.8025301962        0.0000000000
        8.8727701203        0.0000000000
        8.9430100445        0.0000000000
        9.0132499687        0.0000000000
        9.0834898928        0.0000000000
        9.1537298170        0.0000000000
        9.2239697411        0.0000000000
        9.2942096653        0.0000000000
        9.3644495894        0.0000000000
        9.4346895136        0.0000000000
        9.5049294377        0.0000000000
        9.5751693619        0.1802946846
        9.6454092861        0.2706229579
        9.7156492102        0.3668640192
        9.7858891344        0.4750427111
        9.8561290585        0.6055719801
        9.9263689827        0.7793840216
        9.9966089068        1.1763284951
       10.0668488310        1.2407000381
       10.1370887551        1.3266010876
       10.2073286793        1.4055968328
       10.2775686034        1.4252274831
       10.3478085276        1.4506181109
       10.4180484518        1.4185892234
       10.4882883759        1.4428798373
       10.5585283001        1.5133567093
       10.6287682242        1.5832043586
       10.6990081484        1.5846374699
       10.7692480725        1.9832560666
       10.8394879967        3.3140197699
       10.9097279208        6.7057614079
       10.9799678450        5.8267483824
       11.0502077692        6.4693360685
       11.1204476933        4.5753225129
       11.1906876175        4.4802530002
       11.2609275416        4.6380066148
       11.3311674658        5.7766541338
       11.4014073899        3.5545477032
       11.4716473141        3.6533280433
       11.5418872382        3.4468998412
       11.6121271624        3.8625909166
       11.6823670866        3.1721001796
       11.7526070107        3.1653366293
       11.8228469349        0.4274299827
       11.8930868590        0.0000000000
       11.9633267832        0.0000000000
       12.0335667073        0.0000000000
       12.1038066315        0.0000000000
       12.1740465556        0.0000000000
       12.2442864798        0.0000000000
       12.3145264040        0.0000000000
       12.3847663281        0.0000000000
       12.4550062523        0.0000000000
       12.5252461764        0.0000000000
       12.5954861006        0.0000000000
       12.6657260247        0.0000000000
       12.7359659489        0.0000000000
       12.8062058730        0.0000000000
       12.8764457972        0.0000000000
       12.9466857214        0.0000000000
       13.0169256455        0.0000000000
