#k-distance frequency[THz]
0.60497227 0.29170638
0.60761637 0.38845641
0.61026042 0.48479326
0.61290448 0.58061731
0.61554858 0.67583130
0.61819263 0.77034083
0.62083673 0.86405478
0.62348079 0.95688573
0.62612485 1.04875034
0.62876894 1.13956974
0.63141300 1.22926987
0.63405710 1.31778176
0.63670115 1.40504185
0.63934521 1.49099223
0.64198931 1.57558083
0.64463336 1.65876163
0.64727746 1.74049473
0.64992152 1.82074652
0.65256557 1.89948966
0.65520967 1.97670311
0.65785373 2.05237208
0.66049778 2.12648793
0.66314188 2.19904803
0.66578594 2.27005558
0.66843004 2.33951935
0.67107409 2.40745341
0.67371815 2.47387679
0.67636225 2.53881312
0.67900630 2.60229019
0.68165040 2.66433952
0.68429446 2.72499583
0.68693851 2.78429656
0.68958261 2.84228131
0.69222667 2.89899122
0.69487077 2.95446847
0.69751482 3.00875563
0.70015888 3.06189504
0.70280298 3.11392828
0.70544703 3.16489555
0.70809113 3.21483510
0.71073519 3.26378272
0.71337924 3.31177119
0.71602334 3.35882986
0.71866740 3.40498420
0.72131150 3.45025543
0.72395555 3.49466019
0.72659961 3.53821033
0.72924371 3.58091266
0.73188776 3.62276882
0.73453186 3.66377528
0.73717592 3.70392323
0.73981997 3.74319877
0.74246407 3.78158293
0.74510813 3.81905191
0.74775223 3.85557733
0.75039628 3.89112651
0.75304034 3.92566283
0.75568444 3.95914612
0.75832849 3.99153308
0.76097255 4.02277776
0.76361665 4.05283202
0.76626070 4.08164608
0.76890480 4.10916898
0.77154886 4.13534919
0.77419291 4.16013505
0.77683701 4.18347537
0.77948107 4.20531991
0.78212517 4.22561987
0.78476922 4.24432844
0.78741328 4.26140116
0.79005738 4.27679646
0.79270143 4.29047598
0.79534553 4.30240498
0.79798959 4.31255266
0.80063364 4.32089244
0.80327774 4.32740224
0.80592180 4.33206466
0.80856590 4.33486717
0.81120995 4.33580218
0.81120995 4.33580218
0.81385950 4.33658868
0.81650904 4.33894730
0.81915852 4.34287541
0.82180806 4.34836861
0.82445761 4.35542075
0.82710715 4.36402392
0.82975670 4.37416844
0.83240617 4.38584290
0.83505572 4.39903414
0.83770526 4.41372727
0.84035481 4.42990568
0.84300428 4.44755107
0.84565383 4.46664348
0.84830337 4.48716136
0.85095292 4.50908156
0.85360246 4.53237942
0.85625194 4.55702886
0.85890148 4.58300242
0.86155103 4.61027136
0.86420057 4.63880576
0.86685012 4.66857463
0.86949959 4.69954599
0.87214914 4.73168700
0.87479868 4.76496407
0.87744823 4.79934299
0.88009770 4.83478900
0.88274724 4.87126692
0.88539679 4.90874121
0.88804633 4.94717611
0.89069588 4.98653561
0.89334535 5.02678355
0.89599490 5.06788361
0.89864444 5.10979925
0.90129399 5.15249369
0.90394353 5.19592978
0.90659301 5.24006980
0.90924255 5.28487532
0.91189210 5.33030681
0.91454164 5.37632333
0.91719119 5.42288208
0.91984066 5.46993776
0.92249021 5.51744198
0.92513975 5.56534237
0.92778930 5.61358163
0.93043877 5.66209635
0.93308832 5.71081561
0.93573786 5.75965933
0.93838741 5.80853633
0.94103695 5.85734197
0.94368643 5.90595546
0.94633597 5.95423662
0.94898552 6.00202211
0.95163506 6.04912115
0.95428461 6.09531058
0.95693408 6.14032953
0.95958363 6.18387376
0.96223317 6.22559030
0.96488272 6.26507317
0.96753219 6.30186153
0.97018174 6.33544230
0.97283128 6.36525966
0.97548083 6.39073429
0.97813037 6.41129408
0.98077985 6.42641617
0.98342939 6.43567597
0.98607894 6.43879496
0.98607894 6.43879496
0.98870979 6.43835554
0.99134068 6.43703487
0.99397153 6.43482587
0.99660243 6.43171698
0.99923328 6.42769260
1.00186418 6.42273356
1.00449503 6.41681783
1.00712593 6.40992133
1.00975678 6.40201882
1.01238768 6.39308486
1.01501852 6.38309496
1.01764942 6.37202667
1.02028027 6.35986072
1.02291117 6.34658229
1.02554202 6.33218210
1.02817292 6.31665763
1.03080377 6.30001419
1.03343467 6.28226602
1.03606551 6.26343719
1.03869641 6.24356251
1.04132726 6.22268823
1.04395816 6.20087265
1.04658901 6.17818657
1.04921991 6.15471356
1.05185076 6.13055002
1.05448166 6.10580512
1.05711251 6.08060041
1.05974340 6.05506937
1.06237425 6.02935659
1.06500515 6.00361682
1.06763600 5.97801376
1.07026690 5.95203025
1.07289775 5.92201438
1.07552865 5.89427502
1.07815950 5.86878773
1.08079039 5.84552321
1.08342124 5.82444850
1.08605214 5.80552821
1.08868299 5.78872572
1.09131389 5.77400444
1.09394474 5.76132894
1.09657564 5.75066609
1.09920649 5.74198601
1.10183739 5.73526299
1.10446823 5.73047622
1.10709913 5.72761041
1.10972998 5.72665618

0.00000000 0.00000013
0.00263085 0.09174612
0.00526175 0.18345818
0.00789260 0.27510239
0.01052350 0.36664553
0.01315434 0.45805518
0.01578524 0.54930000
0.01841609 0.64034996
0.02104699 0.73117658
0.02367784 0.82175307
0.02630874 0.91205454
0.02893959 1.00205813
0.03157049 1.09174308
0.03420133 1.18109086
0.03683223 1.27008514
0.03946308 1.35871184
0.04209398 1.44695904
0.04472483 1.53481695
0.04735573 1.62227776
0.04998658 1.70933548
0.05261748 1.79598579
0.05524833 1.88222580
0.05787922 1.96805380
0.06051007 2.05346903
0.06314097 2.13847129
0.06577182 2.22306076
0.06840272 2.30723756
0.07103357 2.39100148
0.07366447 2.47435165
0.07629532 2.55728618
0.07892621 2.63980186
0.08155706 2.72189382
0.08418796 2.80355529
0.08681881 2.88477728
0.08944971 2.96554837
0.09208056 3.04585447
0.09471146 3.12567868
0.09734231 3.20500114
0.09997321 3.28379891
0.10260405 3.36204594
0.10523495 3.43971305
0.10786580 3.51676795
0.11049670 3.59317532
0.11312755 3.66889692
0.11575845 3.74389175
0.11838930 3.81811625
0.12102020 3.89152450
0.12365105 3.96406852
0.12628189 4.03569855
0.12891279 4.10636334
0.13154364 4.17601053
0.13417454 4.24458697
0.13680539 4.31203913
0.13943629 4.37831343
0.14206714 4.44335666
0.14469804 4.50711635
0.14732888 4.56954114
0.14995978 4.63058115
0.15259063 4.69018833
0.15522153 4.74831680
0.15785238 4.80492316
0.16048328 4.85996677
0.16311413 4.91341004
0.16574503 4.96521862
0.16837588 5.01536160
0.17100677 5.06381170
0.17363762 5.11054537
0.17626852 5.15554285
0.17889937 5.19878825
0.18153027 5.24026952
0.18416112 5.27997844
0.18679202 5.31791051
0.18942287 5.35406482
0.19205376 5.38844394
0.19468461 5.42105369
0.19731551 5.45190289
0.19994636 5.48100314
0.20257726 5.50836852
0.20520811 5.53401524
0.20783901 5.55796133
0.21046986 5.58022630
0.21310076 5.60083073
0.21573160 5.61979592
