#k-distance frequency[THz]
0.80063364 9.41373503
0.80327774 9.42758956
0.80592180 9.43750278
0.80856590 9.44345760
0.81120995 9.44544369
0.81120995 9.44544369
0.81385950 9.44536812
0.81650904 9.44513775
0.81915852 9.44474160
0.82180806 9.44416150
0.82445761 9.44337230
0.82710715 9.44234204
0.82975670 9.44103238
0.83240617 9.43939890
0.83505572 9.43739156
0.83770526 9.43495524
0.84035481 9.43203021
0.84300428 9.42855278
0.84565383 9.42445588
0.84830337 9.41966972
0.85095292 9.41412243
0.85360246 9.40774080
0.85625194 9.40045093
0.85890148 9.39217892
0.86155103 9.38285158
0.86420057 9.37239712
0.86685012 9.36074578
0.86949959 9.34783048
0.87214914 9.33358750
0.87479868 9.31795699
0.87744823 9.30088362
0.88009770 9.28231703
0.88274724 9.26221241
0.88539679 9.24053091
0.88804633 9.21724008
0.89069588 9.19231427
0.89334535 9.16573499
0.89599490 9.13749123
0.89864444 9.10757975
0.90129399 9.07600536
0.90394353 9.04278116
0.90659301 9.00792877
0.90924255 8.97147857
0.91189210 8.93346988
0.91454164 8.89395121
0.91719119 8.85298054
0.91984066 8.81062556
0.92249021 8.76696404
0.92513975 8.72208423
0.92778930 8.67608542
0.93043877 8.62907854
0.93308832 8.58118702
0.93573786 8.53254784
0.93838741 8.48331279
0.94103695 8.43365015
0.94368643 8.38374667
0.94633597 8.33381007
0.94898552 8.28407204
0.95163506 8.23479180
0.95428461 8.18626023
0.95693408 8.13880450
0.95958363 8.09279296
0.96223317 8.04863981
0.96488272 8.00680869
0.96753219 7.96781390
0.97018174 7.93221720
0.97283128 7.90061773
0.97548083 7.87363232
0.97813037 7.85186436
0.98077985 7.83586142
0.98342939 7.82606591
0.98607894 7.82276714
0.98607894 7.82276714
0.98870979 7.88990285
0.99134068 7.95621442
0.99397153 8.02161443
0.99660243 8.08602208
0.99923328 8.14936324
1.00186418 8.21157039
1.00449503 8.27258244
1.00712593 8.33234461
1.00975678 8.39080818
1.01238768 8.44793022
1.01501852 8.50367327
1.01764942 8.55800506
1.02028027 8.61089809
1.02291117 8.66232928
1.02554202 8.71227959
1.02817292 8.76073358
1.03080377 8.80767907
1.03343467 8.85310669
1.03606551 8.89700953
1.03869641 8.93938273
1.04132726 8.98022314
1.04395816 9.01952901
1.04658901 9.05729961
1.04921991 9.09353501
1.05185076 9.12823578
1.05448166 9.16140280
1.05711251 9.19303700
1.05974340 9.22313929
1.06237425 9.25171033
1.06500515 9.27875052
1.06763600 9.30425985
1.07026690 9.32823791
1.07289775 9.35068388
1.07552865 9.37159648
1.07815950 9.39097407
1.08079039 9.40881466
1.08342124 9.42511597
1.08605214 9.43987553
1.08868299 9.45309074
1.09131389 9.46475895
1.09394474 9.47487758
1.09657564 9.48344420
1.09920649 9.49045657
1.10183739 9.49591277
1.10446823 9.49981122
1.10709913 9.50215077
1.10972998 9.50293070

