cosθ	TA_alpha	LA_alpha
0.709030	0.997376	0.998148
0.712375	0.997501	0.998260
0.715719	0.997621	0.998368
0.719064	0.997738	0.998472
0.722408	0.997850	0.998571
0.725753	0.997959	0.998666
0.729097	0.998064	0.998757
0.732441	0.998165	0.998844
0.735786	0.998263	0.998927
0.739130	0.998357	0.999007
0.742475	0.998448	0.999082
0.745819	0.998535	0.999155
0.749164	0.998620	0.999223
0.752508	0.998700	0.999288
0.755853	0.998778	0.999350
0.759197	0.998853	0.999409
0.762542	0.998925	0.999464
0.765886	0.998994	0.999516
0.769231	0.999060	0.999565
0.772575	0.999123	0.999611
0.775920	0.999183	0.999654
0.779264	0.999241	0.999694
0.782609	0.999296	0.999732
0.785953	0.999349	0.999767
0.789298	0.999399	0.999799
0.792642	0.999447	0.999828
0.795987	0.999493	0.999855
0.799331	0.999536	0.999880
0.802676	0.999577	0.999902
0.806020	0.999615	0.999921
0.809365	0.999652	0.999938
0.812709	0.999686	0.999954
0.816054	0.999718	0.999966
0.819398	0.999749	0.999977
0.822742	0.999777	0.999986
0.826087	0.999804	0.999992
0.829431	0.999828	0.999997
0.832776	0.999851	0.999999
0.836120	0.999872	1.000000
0.839465	0.999891	0.999999
0.842809	0.999909	0.999996
0.846154	0.999924	0.999991
0.849498	0.999939	0.999984
0.852843	0.999951	0.999976
0.856187	0.999962	0.999966
0.859532	0.999972	0.999955
0.862876	0.999980	0.999942
0.866221	0.999987	0.999927
0.869565	0.999992	0.999911
0.872910	0.999996	0.999894
0.876254	0.999999	0.999875
0.879599	1.000000	0.999855
0.882943	1.000000	0.999833
0.886288	0.999999	0.999810
0.889632	0.999996	0.999786
0.892977	0.999993	0.999760
0.896321	0.999988	0.999733
0.899666	0.999982	0.999706
0.903010	0.999975	0.999677
0.906355	0.999967	0.999646
0.909699	0.999958	0.999615
0.913043	0.999947	0.999583
0.916388	0.999936	0.999549
0.919732	0.999924	0.999515
0.923077	0.999911	0.999480
0.926421	0.999897	0.999443
0.929766	0.999882	0.999406
0.933110	0.999867	0.999368
0.936455	0.999850	0.999329
0.939799	0.999833	0.999289
0.943144	0.999815	0.999248
0.946488	0.999796	0.999207
0.949833	0.999776	0.999165
0.953177	0.999755	0.999122
0.956522	0.999734	0.999078
0.959866	0.999712	0.999033
0.963211	0.999690	0.998988
0.966555	0.999666	0.998942
0.969900	0.999642	0.998896
0.973244	0.999618	0.998848
0.976589	0.999593	0.998800
0.979933	0.999567	0.998752
0.983278	0.999541	0.998703
0.986622	0.999514	0.998653
0.989967	0.999486	0.998603
0.993311	0.999458	0.998553
0.996656	0.999430	0.998501
1.000000	0.999401	0.998450
