cos_theta	alpha_TA	alpha_LA
0.709030	0.958998	0.953290
0.712375	0.959542	0.953809
0.715719	0.960079	0.954321
0.719064	0.960608	0.954826
0.722408	0.961130	0.955324
0.725753	0.961644	0.955815
0.729097	0.962150	0.956299
0.732441	0.962649	0.956776
0.735786	0.963141	0.957247
0.739130	0.963626	0.957711
0.742475	0.964104	0.958169
0.745819	0.964575	0.958621
0.749164	0.965040	0.959066
0.752508	0.965498	0.959505
0.755853	0.965949	0.959939
0.759197	0.966394	0.960366
0.762542	0.966832	0.960788
0.765886	0.967264	0.961203
0.769231	0.967690	0.961614
0.772575	0.968110	0.962018
0.775920	0.968524	0.962418
0.779264	0.968933	0.962811
0.782609	0.969335	0.963200
0.785953	0.969732	0.963583
0.789298	0.970123	0.963962
0.792642	0.970509	0.964335
0.795987	0.970889	0.964703
0.799331	0.971264	0.965066
0.802676	0.971634	0.965425
0.806020	0.971998	0.965779
0.809365	0.972357	0.966128
0.812709	0.972712	0.966472
0.816054	0.973061	0.966812
0.819398	0.973406	0.967148
0.822742	0.973745	0.967479
0.826087	0.974080	0.967806
0.829431	0.974411	0.968128
0.832776	0.974737	0.968447
0.836120	0.975058	0.968761
0.839465	0.975375	0.969071
0.842809	0.975687	0.969377
0.846154	0.975995	0.969679
0.849498	0.976299	0.969978
0.852843	0.976599	0.970272
0.856187	0.976895	0.970563
0.859532	0.977186	0.970850
0.862876	0.977474	0.971133
0.866221	0.977757	0.971413
0.869565	0.978037	0.971689
0.872910	0.978313	0.971962
0.876254	0.978585	0.972231
0.879599	0.978854	0.972497
0.882943	0.979118	0.972760
0.886288	0.979380	0.973019
0.889632	0.979637	0.973275
0.892977	0.979891	0.973528
0.896321	0.980142	0.973777
0.899666	0.980390	0.974024
0.903010	0.980634	0.974267
0.906355	0.980874	0.974508
0.909699	0.981112	0.974745
0.913043	0.981346	0.974980
0.916388	0.981577	0.975211
0.919732	0.981805	0.975440
0.923077	0.982030	0.975666
0.926421	0.982252	0.975889
0.929766	0.982471	0.976110
0.933110	0.982687	0.976328
0.936455	0.982900	0.976543
0.939799	0.983111	0.976756
0.943144	0.983318	0.976966
0.946488	0.983523	0.977173
0.949833	0.983725	0.977378
0.953177	0.983925	0.977580
0.956522	0.984122	0.977781
0.959866	0.984316	0.977978
0.963211	0.984507	0.978174
0.966555	0.984697	0.978367
0.969900	0.984883	0.978557
0.973244	0.985067	0.978746
0.976589	0.985249	0.978932
0.979933	0.985428	0.979116
0.983278	0.985606	0.979298
0.986622	0.985780	0.979478
0.989967	0.985953	0.979655
0.993311	0.986123	0.979831
0.996656	0.986291	0.980004
1.000000	0.986457	0.980176
