cos_theta	alpha_TA	alpha_LA
0.709030	0.866236	0.844523
0.712375	0.866307	0.843713
0.715719	0.866377	0.842909
0.719064	0.866446	0.842112
0.722408	0.866514	0.841320
0.725753	0.866581	0.840534
0.729097	0.866647	0.839754
0.732441	0.866712	0.838981
0.735786	0.866776	0.838213
0.739130	0.866840	0.837451
0.742475	0.866902	0.836694
0.745819	0.866963	0.835944
0.749164	0.867024	0.835199
0.752508	0.867084	0.834460
0.755853	0.867143	0.833726
0.759197	0.867201	0.832999
0.762542	0.867258	0.832276
0.765886	0.867315	0.831560
0.769231	0.867371	0.830848
0.772575	0.867426	0.830142
0.775920	0.867480	0.829442
0.779264	0.867534	0.828747
0.782609	0.867587	0.828057
0.785953	0.867639	0.827372
0.789298	0.867690	0.826693
0.792642	0.867741	0.826018
0.795987	0.867791	0.825349
0.799331	0.867841	0.824685
0.802676	0.867890	0.824026
0.806020	0.867938	0.823372
0.809365	0.867986	0.822723
0.812709	0.868033	0.822079
0.816054	0.868079	0.821440
0.819398	0.868125	0.820806
0.822742	0.868170	0.820176
0.826087	0.868215	0.819552
0.829431	0.868259	0.818932
0.832776	0.868303	0.818316
0.836120	0.868346	0.817706
0.839465	0.868388	0.817100
0.842809	0.868430	0.816498
0.846154	0.868472	0.815901
0.849498	0.868513	0.815309
0.852843	0.868553	0.814721
0.856187	0.868594	0.814137
0.859532	0.868633	0.813558
0.862876	0.868672	0.812983
0.866221	0.868711	0.812413
0.869565	0.868749	0.811847
0.872910	0.868787	0.811285
0.876254	0.868824	0.810727
0.879599	0.868861	0.810174
0.882943	0.868897	0.809624
0.886288	0.868933	0.809079
0.889632	0.868968	0.808538
0.892977	0.869004	0.808001
0.896321	0.869038	0.807468
0.899666	0.869073	0.806938
0.903010	0.869107	0.806413
0.906355	0.869140	0.805892
0.909699	0.869173	0.805374
0.913043	0.869206	0.804861
0.916388	0.869239	0.804351
0.919732	0.869271	0.803845
0.923077	0.869302	0.803342
0.926421	0.869334	0.802844
0.929766	0.869365	0.802349
0.933110	0.869395	0.801858
0.936455	0.869426	0.801370
0.939799	0.869456	0.800886
0.943144	0.869485	0.800405
0.946488	0.869515	0.799928
0.949833	0.869544	0.799455
0.953177	0.869572	0.798985
0.956522	0.869601	0.798518
0.959866	0.869629	0.798055
0.963211	0.869657	0.797595
0.966555	0.869684	0.797139
0.969900	0.869712	0.796685
0.973244	0.869738	0.796236
0.976589	0.869765	0.795789
0.979933	0.869792	0.795346
0.983278	0.869818	0.794905
0.986622	0.869843	0.794468
0.989967	0.869869	0.794034
0.993311	0.869894	0.793604
0.996656	0.869919	0.793176
1.000000	0.869944	0.792752
