cos_theta	alpha_TA	alpha_LA
0.709030	0.958569	0.970573
0.712375	0.958083	0.970758
0.715719	0.957598	0.970940
0.719064	0.957115	0.971118
0.722408	0.956634	0.971293
0.725753	0.956155	0.971464
0.729097	0.955678	0.971633
0.732441	0.955203	0.971798
0.735786	0.954730	0.971960
0.739130	0.954259	0.972120
0.742475	0.953790	0.972276
0.745819	0.953324	0.972430
0.749164	0.952859	0.972581
0.752508	0.952396	0.972729
0.755853	0.951935	0.972875
0.759197	0.951477	0.973018
0.762542	0.951020	0.973158
0.765886	0.950566	0.973297
0.769231	0.950114	0.973433
0.772575	0.949664	0.973566
0.775920	0.949216	0.973697
0.779264	0.948770	0.973827
0.782609	0.948326	0.973953
0.785953	0.947885	0.974078
0.789298	0.947446	0.974201
0.792642	0.947009	0.974322
0.795987	0.946574	0.974441
0.799331	0.946141	0.974558
0.802676	0.945711	0.974673
0.806020	0.945282	0.974786
0.809365	0.944856	0.974897
0.812709	0.944432	0.975007
0.816054	0.944011	0.975115
0.819398	0.943591	0.975221
0.822742	0.943174	0.975325
0.826087	0.942758	0.975428
0.829431	0.942346	0.975530
0.832776	0.941935	0.975630
0.836120	0.941526	0.975728
0.839465	0.941120	0.975825
0.842809	0.940716	0.975920
0.846154	0.940314	0.976014
0.849498	0.939914	0.976107
0.852843	0.939516	0.976198
0.856187	0.939121	0.976288
0.859532	0.938727	0.976376
0.862876	0.938336	0.976464
0.866221	0.937947	0.976550
0.869565	0.937560	0.976634
0.872910	0.937175	0.976718
0.876254	0.936793	0.976800
0.879599	0.936412	0.976882
0.882943	0.936034	0.976962
0.886288	0.935658	0.977041
0.889632	0.935284	0.977118
0.892977	0.934912	0.977195
0.896321	0.934542	0.977271
0.899666	0.934174	0.977346
0.903010	0.933809	0.977419
0.906355	0.933445	0.977492
0.909699	0.933084	0.977564
0.913043	0.932724	0.977634
0.916388	0.932367	0.977704
0.919732	0.932011	0.977773
0.923077	0.931658	0.977841
0.926421	0.931307	0.977908
0.929766	0.930958	0.977974
0.933110	0.930611	0.978039
0.936455	0.930265	0.978104
0.939799	0.929922	0.978168
0.943144	0.929581	0.978230
0.946488	0.929242	0.978292
0.949833	0.928905	0.978354
0.953177	0.928569	0.978414
0.956522	0.928236	0.978474
0.959866	0.927905	0.978533
