cos_theta	alpha_TA	alpha_LA
0.709030	0.865707	0.842334
0.712375	0.865552	0.841493
0.715719	0.865399	0.840658
0.719064	0.865248	0.839830
0.722408	0.865099	0.839008
0.725753	0.864951	0.838192
0.729097	0.864806	0.837382
0.732441	0.864662	0.836578
0.735786	0.864520	0.835780
0.739130	0.864380	0.834988
0.742475	0.864241	0.834202
0.745819	0.864104	0.833422
0.749164	0.863969	0.832647
0.752508	0.863836	0.831879
0.755853	0.863704	0.831116
0.759197	0.863574	0.830358
0.762542	0.863445	0.829607
0.765886	0.863318	0.828861
0.769231	0.863192	0.828120
0.772575	0.863068	0.827385
0.775920	0.862945	0.826656
0.779264	0.862824	0.825932
0.782609	0.862704	0.825214
0.785953	0.862585	0.824500
0.789298	0.862468	0.823792
0.792642	0.862353	0.823090
0.795987	0.862238	0.822392
0.799331	0.862125	0.821700
0.802676	0.862013	0.821013
0.806020	0.861903	0.820331
0.809365	0.861794	0.819655
0.812709	0.861686	0.818983
0.816054	0.861579	0.818316
0.819398	0.861474	0.817654
0.822742	0.861369	0.816997
0.826087	0.861266	0.816345
0.829431	0.861164	0.815698
0.832776	0.861063	0.815056
0.836120	0.860963	0.814418
0.839465	0.860865	0.813786
0.842809	0.860767	0.813157
0.846154	0.860671	0.812534
0.849498	0.860575	0.811915
0.852843	0.860481	0.811301
0.856187	0.860388	0.810691
0.859532	0.860295	0.810086
0.862876	0.860204	0.809485
0.866221	0.860114	0.808889
0.869565	0.860024	0.808297
0.872910	0.859936	0.807709
0.876254	0.859848	0.807126
0.879599	0.859762	0.806547
0.882943	0.859676	0.805972
0.886288	0.859591	0.805402
0.889632	0.859508	0.804836
0.892977	0.859425	0.804273
0.896321	0.859342	0.803715
0.899666	0.859261	0.803161
0.903010	0.859181	0.802612
0.906355	0.859101	0.802066
0.909699	0.859023	0.801524
0.913043	0.858945	0.800986
0.916388	0.858868	0.800452
0.919732	0.858791	0.799922
0.923077	0.858716	0.799396
0.926421	0.858641	0.798873
0.929766	0.858567	0.798354
0.933110	0.858494	0.797840
0.936455	0.858421	0.797328
0.939799	0.858349	0.796821
0.943144	0.858278	0.796317
0.946488	0.858208	0.795817
0.949833	0.858138	0.795320
0.953177	0.858069	0.794827
0.956522	0.858001	0.794338
0.959866	0.857933	0.793852
0.963211	0.857866	0.793370
0.966555	0.857800	0.792891
0.969900	0.857734	0.792415
0.973244	0.857669	0.791943
0.976589	0.857605	0.791474
0.979933	0.857541	0.791009
0.983278	0.857478	0.790547
0.986622	0.857415	0.790088
0.989967	0.857353	0.789632
0.993311	0.857292	0.789180
0.996656	0.857231	0.788731
1.000000	0.857171	0.788285
