cos_theta	alpha_TA	alpha_LA
0.709030	0.962436	0.970037
0.712375	0.962024	0.970280
0.715719	0.961613	0.970517
0.719064	0.961205	0.970750
0.722408	0.960798	0.970977
0.725753	0.960394	0.971201
0.729097	0.959991	0.971419
0.732441	0.959590	0.971634
0.735786	0.959192	0.971844
0.739130	0.958795	0.972050
0.742475	0.958400	0.972252
0.745819	0.958008	0.972451
0.749164	0.957617	0.972645
0.752508	0.957229	0.972836
0.755853	0.956843	0.973023
0.759197	0.956458	0.973207
0.762542	0.956076	0.973387
0.765886	0.955696	0.973564
0.769231	0.955317	0.973738
0.772575	0.954941	0.973908
0.775920	0.954567	0.974076
0.779264	0.954195	0.974240
0.782609	0.953825	0.974402
0.785953	0.953458	0.974561
0.789298	0.953092	0.974717
0.792642	0.952728	0.974870
0.795987	0.952367	0.975021
0.799331	0.952007	0.975169
0.802676	0.951650	0.975314
0.806020	0.951294	0.975457
0.809365	0.950941	0.975598
0.812709	0.950589	0.975736
0.816054	0.950240	0.975872
0.819398	0.949893	0.976005
0.822742	0.949548	0.976137
0.826087	0.949205	0.976266
0.829431	0.948864	0.976393
0.832776	0.948525	0.976518
0.836120	0.948187	0.976641
0.839465	0.947852	0.976762
0.842809	0.947519	0.976882
0.846154	0.947188	0.976999
0.849498	0.946859	0.977114
0.852843	0.946532	0.977228
0.856187	0.946207	0.977340
0.859532	0.945884	0.977450
0.862876	0.945563	0.977559
0.866221	0.945244	0.977666
0.869565	0.944927	0.977771
0.872910	0.944611	0.977874
0.876254	0.944298	0.977976
0.879599	0.943987	0.978077
0.882943	0.943677	0.978176
0.886288	0.943370	0.978274
0.889632	0.943064	0.978370
0.892977	0.942760	0.978465
0.896321	0.942458	0.978558
0.899666	0.942158	0.978650
0.903010	0.941860	0.978741
0.906355	0.941564	0.978830
0.909699	0.941270	0.978918
0.913043	0.940977	0.979005
0.916388	0.940686	0.979091
0.919732	0.940397	0.979175
0.923077	0.940110	0.979258
0.926421	0.939825	0.979341
0.929766	0.939541	0.979422
0.933110	0.939260	0.979501
0.936455	0.938980	0.979580
0.939799	0.938701	0.979658
0.943144	0.938425	0.979735
0.946488	0.938150	0.979810
0.949833	0.937877	0.979885
0.953177	0.937606	0.979959
0.956522	0.937336	0.980031
0.959866	0.937069	0.980103
0.963211	0.936802	0.980174
0.966555	0.936538	0.980244
0.969900	0.936275	0.980313
0.973244	0.936014	0.980381
0.976589	0.935755	0.980448
0.979933	0.935497	0.980514
0.983278	0.935241	0.980580
0.986622	0.934986	0.980644
0.989967	0.934733	0.980708
0.993311	0.934482	0.980771
0.996656	0.934232	0.980833
1.000000	0.933984	0.980895
