cos_theta	alpha_TA	alpha_LA
0.709030	0.958490	0.879608
0.712375	0.959264	0.880398
0.715719	0.960027	0.881180
0.719064	0.960779	0.881953
0.722408	0.961519	0.882717
0.725753	0.962249	0.883472
0.729097	0.962968	0.884220
0.732441	0.963676	0.884958
0.735786	0.964374	0.885689
0.739130	0.965061	0.886411
0.742475	0.965738	0.887126
0.745819	0.966405	0.887833
0.749164	0.967062	0.888532
0.752508	0.967709	0.889223
0.755853	0.968346	0.889906
0.759197	0.968974	0.890583
0.762542	0.969592	0.891251
0.765886	0.970200	0.891913
0.769231	0.970799	0.892567
0.772575	0.971390	0.893214
0.775920	0.971971	0.893855
0.779264	0.972543	0.894488
0.782609	0.973106	0.895114
0.785953	0.973660	0.895734
0.789298	0.974206	0.896347
0.792642	0.974743	0.896954
0.795987	0.975272	0.897554
0.799331	0.975793	0.898148
0.802676	0.976305	0.898735
0.806020	0.976810	0.899316
0.809365	0.977306	0.899891
0.812709	0.977794	0.900460
0.816054	0.978275	0.901023
0.819398	0.978748	0.901581
0.822742	0.979213	0.902132
0.826087	0.979671	0.902677
0.829431	0.980121	0.903217
0.832776	0.980564	0.903751
0.836120	0.981000	0.904280
0.839465	0.981428	0.904803
0.842809	0.981850	0.905321
0.846154	0.982265	0.905833
0.849498	0.982672	0.906341
0.852843	0.983073	0.906843
0.856187	0.983467	0.907339
0.859532	0.983855	0.907831
0.862876	0.984236	0.908318
0.866221	0.984610	0.908800
0.869565	0.984979	0.909277
0.872910	0.985340	0.909749
0.876254	0.985696	0.910216
0.879599	0.986046	0.910679
0.882943	0.986389	0.911137
0.886288	0.986726	0.911590
0.889632	0.987058	0.912039
0.892977	0.987384	0.912483
0.896321	0.987703	0.912923
0.899666	0.988018	0.913359
0.903010	0.988326	0.913790
0.906355	0.988629	0.914217
0.909699	0.988927	0.914640
0.913043	0.989219	0.915059
0.916388	0.989506	0.915473
0.919732	0.989787	0.915884
0.923077	0.990063	0.916290
0.926421	0.990334	0.916693
0.929766	0.990600	0.917091
0.933110	0.990861	0.917486
0.936455	0.991117	0.917877
0.939799	0.991369	0.918264
0.943144	0.991615	0.918648
0.946488	0.991856	0.919027
0.949833	0.992093	0.919403
0.953177	0.992325	0.919776
0.956522	0.992553	0.920145
0.959866	0.992776	0.920510
0.963211	0.992995	0.920872
0.966555	0.993209	0.921231
0.969900	0.993419	0.921586
0.973244	0.993624	0.921938
0.976589	0.993825	0.922286
0.979933	0.994022	0.922631
0.983278	0.994215	0.922973
0.986622	0.994404	0.923312
0.989967	0.994589	0.923648
0.993311	0.994769	0.923980
0.996656	0.994946	0.924310
1.000000	0.995119	0.924636
