cos_theta	alpha_TA	alpha_LA
0.709030	0.963723	0.954682
0.712375	0.964274	0.955210
0.715719	0.964816	0.955730
0.719064	0.965350	0.956243
0.722408	0.965877	0.956749
0.725753	0.966395	0.957247
0.729097	0.966906	0.957739
0.732441	0.967408	0.958224
0.735786	0.967904	0.958702
0.739130	0.968392	0.959173
0.742475	0.968872	0.959638
0.745819	0.969346	0.960096
0.749164	0.969812	0.960548
0.752508	0.970271	0.960994
0.755853	0.970724	0.961433
0.759197	0.971169	0.961867
0.762542	0.971608	0.962294
0.765886	0.972041	0.962716
0.769231	0.972467	0.963132
0.772575	0.972886	0.963542
0.775920	0.973300	0.963947
0.779264	0.973707	0.964346
0.782609	0.974108	0.964740
0.785953	0.974503	0.965128
0.789298	0.974892	0.965512
0.792642	0.975276	0.965890
0.795987	0.975653	0.966262
0.799331	0.976025	0.966630
0.802676	0.976392	0.966993
0.806020	0.976753	0.967351
0.809365	0.977109	0.967705
0.812709	0.977459	0.968053
0.816054	0.977805	0.968397
0.819398	0.978145	0.968737
0.822742	0.978480	0.969071
0.826087	0.978810	0.969402
0.829431	0.979135	0.969728
0.832776	0.979456	0.970050
0.836120	0.979771	0.970367
0.839465	0.980082	0.970681
0.842809	0.980389	0.970990
0.846154	0.980690	0.971295
0.849498	0.980988	0.971596
0.852843	0.981281	0.971894
0.856187	0.981569	0.972187
0.859532	0.981854	0.972477
0.862876	0.982134	0.972763
0.866221	0.982410	0.973045
0.869565	0.982682	0.973323
0.872910	0.982950	0.973598
0.876254	0.983214	0.973870
0.879599	0.983474	0.974138
0.882943	0.983730	0.974402
0.886288	0.983982	0.974663
0.889632	0.984231	0.974921
0.892977	0.984476	0.975176
0.896321	0.984718	0.975427
0.899666	0.984955	0.975675
0.903010	0.985190	0.975920
0.906355	0.985421	0.976162
0.909699	0.985648	0.976401
0.913043	0.985872	0.976637
0.916388	0.986093	0.976869
0.919732	0.986311	0.977099
0.923077	0.986525	0.977327
0.926421	0.986736	0.977551
0.929766	0.986945	0.977772
0.933110	0.987150	0.977991
0.936455	0.987352	0.978207
0.939799	0.987551	0.978420
0.943144	0.987747	0.978631
0.946488	0.987940	0.978839
0.949833	0.988131	0.979045
0.953177	0.988318	0.979248
0.956522	0.988503	0.979448
0.959866	0.988685	0.979646
0.963211	0.988865	0.979842
0.966555	0.989042	0.980035
0.969900	0.989216	0.980226
0.973244	0.989387	0.980415
0.976589	0.989557	0.980601
0.979933	0.989723	0.980785
0.983278	0.989887	0.980967
0.986622	0.990049	0.981147
0.989967	0.990209	0.981324
0.993311	0.990366	0.981500
0.996656	0.990520	0.981673
1.000000	0.990673	0.981844
